flight_id,date,carrier,flight_number,tail_number,origin,dest,sched_dep_local,delay_probability,risk_band,predicted_delayed_15,top_reason,reason_details,recommended_action,actual_delayed_15,actual_dep_delay_min,actual_delay_cause
2015-01-05_MQ3174,2015-01-05,MQ,3174,N509MQ,ORD,LIT,22:20,0.9998,high,1,Weather pressure at origin,Weather pressure at origin (5.55); Carrier operating pattern: MQ (1.96); Destination/network pattern: LIT (0.72),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,,,carrier
2015-01-05_MQ2910,2015-01-05,MQ,2910,N503MQ,ORD,DTW,22:15,0.9997,high,1,Weather pressure at origin,Weather pressure at origin (5.55); Carrier operating pattern: MQ (1.96); Congested departure bank (0.59),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,,,carrier
2015-01-05_MQ3642,2015-01-05,MQ,3642,N656MQ,ORD,DAY,22:20,0.9996,high,1,Weather pressure at origin,Weather pressure at origin (5.55); Carrier operating pattern: MQ (1.96); Congested departure bank (0.59),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,,,carrier
2015-01-05_MQ3315,2015-01-05,MQ,3315,N503MQ,ORD,MEM,22:21,0.9996,high,1,Weather pressure at origin,Weather pressure at origin (5.55); Carrier operating pattern: MQ (1.96); Congested departure bank (0.59),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,1.0,48.0,nas
2015-01-05_MQ3528,2015-01-05,MQ,3528,N506MQ,ORD,MSP,22:50,0.9995,high,1,Weather pressure at origin,Weather pressure at origin (5.55); Carrier operating pattern: MQ (1.96); Congested departure bank (0.59),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,,,carrier
2015-01-05_MQ3405,2015-01-05,MQ,3405,N671MQ,ORD,DSM,22:15,0.9993,high,1,Weather pressure at origin,Weather pressure at origin (5.55); Carrier operating pattern: MQ (1.96); Congested departure bank (0.59),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,,,carrier
2015-01-08_MQ3413,2015-01-08,MQ,3413,N537MQ,ORD,DTW,15:10,0.9989,high,1,Weather pressure at origin,Weather pressure at origin (4.13); Carrier operating pattern: MQ (1.96); Late inbound aircraft cascade (1.25),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,,,weather
2015-01-08_MQ3152,2015-01-08,MQ,3152,N674MQ,ORD,AZO,20:40,0.9981,high,1,Late inbound aircraft cascade,Late inbound aircraft cascade (2.65); Weather pressure at origin (2.00); Carrier operating pattern: MQ (1.96),"Check inbound aircraft status, protect the turn, and consider an aircraft swap if the delay grows.",,,nas
2015-01-08_MQ2929,2015-01-08,MQ,2929,N632MQ,ORD,RST,15:25,0.9981,high,1,Weather pressure at origin,Weather pressure at origin (4.13); Carrier operating pattern: MQ (1.96); Destination/network pattern: RST (0.82),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,,,nas
2015-01-08_MQ3618,2015-01-08,MQ,3618,N539MQ,ORD,LIT,15:10,0.998,high,1,Weather pressure at origin,Weather pressure at origin (4.13); Carrier operating pattern: MQ (1.96); Destination/network pattern: LIT (0.72),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,1.0,155.0,late_aircraft
2015-01-05_AA2221,2015-01-05,AA,2221,N3ELAA,ORD,BOS,22:05,0.9973,high,1,Weather pressure at origin,Weather pressure at origin (5.55); Congested departure bank (0.59); Weather pressure at origin (0.34),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,1.0,189.0,weather
2015-01-05_MQ2770,2015-01-05,MQ,2770,N637MQ,ORD,FNT,21:25,0.9969,high,1,Weather pressure at origin,Weather pressure at origin (2.71); Carrier operating pattern: MQ (1.96); Late inbound aircraft cascade (0.68),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,,,carrier
2015-01-08_MQ3457,2015-01-08,MQ,3457,N522MQ,ORD,ROC,15:20,0.9969,high,1,Weather pressure at origin,Weather pressure at origin (4.13); Carrier operating pattern: MQ (1.96); Destination/network pattern: ROC (0.29),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,,,nas
2015-01-08_MQ3073,2015-01-08,MQ,3073,N517MQ,ORD,CLE,15:45,0.9968,high,1,Weather pressure at origin,Weather pressure at origin (4.13); Carrier operating pattern: MQ (1.96); Late inbound aircraft cascade (0.88),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,,,nas
2015-01-08_MQ3498,2015-01-08,MQ,3498,N699MQ,ORD,OMA,15:30,0.9967,high,1,Weather pressure at origin,Weather pressure at origin (4.13); Carrier operating pattern: MQ (1.96); Origin airport pattern: ORD (0.29),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,,,nas
